,Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Mean_Pitch,Mean_Pitch_Class,Most_Common_Pitch,Most_Common_Pitch_Class,Interval_Between_Most_Prevalent_Pitches,Pitch_Variability,Most_Common_Melodic_Interval,Repeated_Notes
Don't Rain on My Parade (Glee Version),53,12,0,0,58,61.08,5.874,64,9,7,11.53,0,0.1526
Don't Rain on My Parade (Original),52,12,0,1,53,57.54,5.989,64,9,3,11.92,2,0.09799
